time,page,sender_name,content,photos,videos,link,kdv,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2024/02/05,Chuyển Động Showbiz,Gia Huy Lưu,Này là chị tự tìm meme chứ meme nào tìm chị nữa 🥲,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/423599877_2169037153428295_6047215982819519089_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFjVc_nqYQJWZ20kaKpq_kZXvtol1V24VRe-2iXVXbhVDVVdL-r0R5vRkuATo7vDM87m14zIZBeDHgI-kSl1HKX&_nc_ohc=Hj_YaMAQE-4AX8dStHl&_nc_ht=scontent.fhan14-4.fna&oh=03_AdR0rXylFQy1Yi-1m1tzf6RCXDMrYmyjz7oSmjCmIyeINw&oe=65E8A62B ,,,Đạt,Duyệt
2024/02/05,Chuyển Động Showbiz,Gia Huy Lưu,"Khi ""Thời Tiết"" xuất hiện thì Thời Yến chỉ còn là một cái tên 🤣",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/420547123_396380509709972_5340170843562225249_n.png?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGNHtnJ3B6X89P0rFsgGodPmhDEd_bcHsyaEMR39twezBsSBJqb44hdMuRL0ytYiztfi8gTe4XajST6sbbIo68f&_nc_ohc=vF-4orJ0pY8AX-FvpWL&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSgQFOUaxOgoJOY4nZeLj_ZTLOSeZhYwi2dMx9upZuPZw&oe=65E8BB76 ,,,Bách,Duyệt
2024/02/05,Chuyển Động Showbiz,Gia Huy Lưu, ,,https://video.fhan14-1.fna.fbcdn.net/v/t42.3356-2/423536168_7416125745084928_2124867952553088199_n.mp4?_nc_cat=105&ccb=1-7&_nc_sid=4f86bc&_nc_eui2=AeG8YYwp6aY6BcYvD8d1IV6oTrHYBQWZLxZOsdgFBZkvFvh0Ox0O-dZvYunBBXOiJEsTlQn4nB8wOri27O32iXMY&_nc_ohc=zwGv7_ahtHsAX9Hbk6R&_nc_ht=video.fhan14-1.fna&oh=03_AdRb5KUNrY5lbw5hHHlJdggOksImlfvP6wFeFs5NhS0CPA&oe=65C2C61C&dl=1 ,,Bách,Duyệt
2024/02/05,Chuyển Động Showbiz,Gia Huy Lưu,"HOT 🔥 Hành động kỳ lạ của tiếp viên hàng không khi đăng quang Hoa hậu Chuyển giới Thái Lan  Sau 5 dự thi Miss Tiffany's Universe - Saruda Panyakham không thể giấu đi cảm xúc vì cuối cùng cũng đã thực hiện được giấc mơ của mình. Được biết, cô là người chuyển giới Thái đầu tiên làm tiếp viên hàng không cho hãng American Airlines. Saruda Panyakham cũng từng sải bước trình diễn thời trang New York Fashion Week, diễn cho NTK nổi tiếng Michael Cinco, v.v.  #chuyendongshowbiz #queenmode",,,,Đạt,Duyệt
