time,page,sender_name,content,photos,videos,link,kdv,,,
2024/03/13,Tám chuyện Showbiz,Thuỳ Linh,"Lộ thêm clip đám cưới 11 năm trước của chị đẹp Huyền Baby và đại gia chủ chuỗi khách sạn nổi tiếng, siêu xe đón dâu xếp kín phố thời bấy giờ 😮","https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431502994_2116638285368168_7805736169500503868_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF_y75ykQ227Bh31uZ2dMQw_ApJhi-BfnL8CkmGL4F-clHZEMK5s3hfR_XcomRJux4XVlo2JJs6i26fOGKH-bWS&_nc_ohc=yNxPqgCKpBkAX9N6-6L&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQVtvVVPMo2HH_OdkphlhMO_-wfDr7DWFYk6lvaJwrRiA&oe=661A0BB5 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/432263920_430210596093889_5552091474471513968_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHqtYiZJq7olsGcGlbJMnYTLx-zqUitUhsvH7OpSK1SGwNQA-95J2KSHH-vZzKAEwTUmOvBwWZ1mXCdNMrRd6Z0&_nc_ohc=qBYW5RtelnUAX9wG56l&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRbdo_K5bfBaURZrtiJJjSVwUbs4own90B8DGwxvuiIZw&oe=661A3F1D 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431748121_1221243915503717_5118122791030520733_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGtxU5KafY-HPY8XM7fb9vmGtdtgX2oI48a122Bfagjj2Dtef-e2NciBJhaGBRjwiawlg9X2g-irFMlwR5K_ifM&_nc_ohc=WMHWNbrawrcAX9haFZ8&_nc_ht=scontent.fhan2-3.fna&oh=03_AdTit4OzmsCH-3Ovfs1udD_xxUnHBB5u0NNCRCMhCOa9xw&oe=661A2DF0 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431549641_751475400423259_346198437583622765_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHc-FmQGanxlV2xgN3HKLrkxTBKrt9wXHXFMEqu33BcdUG9qkhc-FIxPqjGm6mAxIUC45CSfTnle7uEjORLM3Pp&_nc_ohc=P-w_MolcG3YAX_LzrSE&_nc_ht=scontent.fhan2-4.fna&oh=03_AdS-yDaGRTfipqKQW2xGXkNs9U5dGAE8uZqBghOq4x2NEw&oe=661A400E 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/432430922_1447942489434954_7689253616490363151_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGlDLDJ7GoYNTXGSNVJoTtIB_g9wvGNpsEH-D3C8Y2mwQmcNclw3LXAdbLV-ARtOKoNC5BEzceD2fI2HF7YzP-g&_nc_ohc=QMHRWEdVqTgAX8Jpgf-&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQIPciyuGiJeSasp8CfoLz_jT1rETlBCt85FPSlvRgn9Q&oe=661A199B ",,,Đạt,Duyệt,,
2024/03/13,Tám chuyện Showbiz,Le Ngoc Tuyen,"💥TRẤN THÀNH: TÔI HÀI HƯỚC NÊN THÍCH HIỂU VÍ VON TỪ “TRÙNG DƯƠNG” MÀ NHIỀU NGƯỜI VẼ CHUYỆN NGHIÊM TRỌNG QUÁ😮  Từng gây ồn ào vì lí giải cái tên Trùng Dương là ánh dương trùng xuống. Nay Trấn Thành đã chia sẻ suy nghĩ của mình về phát ngôn trên, cụ thể:  ""Tôi vốn là diễn viên hài, tôi thích hiểu ví von Trùng Dương là ánh dương nhưng bị trùng xuống. Tôi thích như vậy, chứ làm sao không hiểu Trùng Dương có nghĩa là gì được? Tôi sống với từ Hán Việt mà, làm sao không hiểu cho được.  Nhiều người cứ vẽ câu chuyện một cách nghiêm trọng, trong khi mình chỉ muốn tự hiểu vui vui là vậy chứ đâu nói Trùng Dương có nghĩa là như vậy? Mình muốn hiểu theo nghĩa nào cũng được, nhưng tôi là người hài hước nên muốn hiểu theo cách của tôi cho đáng yêu. Đâu có ai ép tôi đặt tên là Trùng Dương đâu? Tôi có thể chọn bất cứ tên nào, Ánh Dương, Hồng Dương, thậm chí… Ali Hoàng Dương cũng được. Tôi đặt là Song Luân hay Isaac cũng được mà.""  Theo Kenh14",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431153794_1343985959599061_1830460231005669865_n.png?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGOXkOEF09mK7yJQO5vfj5pgCh6uaPMtWGAKHq5o8y1YbODtNWuGiwRt79XqL3HCHFRnOj5vqMsjcTrwB2AJuVF&_nc_ohc=QJTfj6ks0VwAX_T_JRm&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQeUpwdpyeUP3E5MeyP-P1-uOSRL0B2CTPrDcSJXK4lrA&oe=661A3011 ,,,Đạt,Duyệt,,
2024/03/12,Tám chuyện Showbiz,Thuỳ Linh,Lê Bống và trend chụp ảnh với cuốn sổ hồng nhỏ xinh :)))))  Trend này ai đu được thì nhường đó 🥹,"https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/430477720_271307962582232_4023875001581169223_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFk_bFPTsNfKTihAq265Kk1qd-_6bYb5OKp37_pthvk4muf1nlFYaFHjKSsIJH0V5S2YNkBkiYgqKMOx10FYHCM&_nc_ohc=vOlu21O8q6UAX_KJ6pk&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSQS9XqwMWLi8BN4eHveS0yAH6vmNUqZRGOHCo-agsPgA&oe=661A0B1B 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/429980773_1091274681993425_5823185032557514865_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFE6DKdiZjMKcR2qv-Z6lFZ68UioutZMZXrxSKi61kxlYTKPKmM1psom2o4dNZTD1wWoGkUW5vEL9cYdtKU6_tf&_nc_ohc=fadEAbhEOWYAX94Kv0-&_nc_oc=AQml-xcWLGRjkwsaQLo7Ts8ABcUpkVv6oO3qQ1bPi2e8zKIEqkYjwNlyjquj6B68GAU&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRVw2V2MUV40Mwx7XXXYS2890yhp_u_oRZOlvJbvC_ecw&oe=661A1CC7 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/429454681_430438719363214_5500428325302234960_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHkbwh1rgx5_E1eVqmqM4-GkxL1g3Tv8_6TEvWDdO_z_pAG4wdgii5ZhPj1EXZdqpACNvzA_9-9c7S6pwXLfe4u&_nc_ohc=Mj6HhWjUDzAAX_Ff09b&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQiC9kOOlBWWi7yzybkqa5-ZPuauoGKO3lkOQU83xQe_A&oe=661A2DBE ",,,Bách,Duyệt,,
2024/03/12,Tám chuyện Showbiz,Thuỳ Linh,"HẢI, QUAY XE! 🤣 PHÁT HIỆN NHIỀU THANH NIÊN VÀO CLIP K-ICM CÔNG KHAI XIN LỖI KHÁNH VÌ TRƯỚC ĐÂY ĐÃ LỠ MÒM =)))))))  Sau 5 năm cuối cùng mọi thứ đã sáng tỏ, Trắng-Đen, Phải-Trái đã tinh tường và giờ đây, lượng người “lật mặt 8” đang đông đảo như đổ về clip tóp tóp của Khánh nộp đơn xin lỗi, quay về làm fan cứng, nối lại tình xưa thuở nào =))) 😂😂😂",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431684140_1075152136874151_3095454842463641275_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFsKe3_Qh9M3aNXPC_mFjmHq6ocdrS72serqhx2tLvaxzXIkD_6ABXvlkG10IyC3nim269Wncr2Z4EsjY51CtgK&_nc_ohc=NLZ3JqInNhYAX__udpE&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQ0vxsMU04w0CUpPPL6BMYPoEMXpttSG4JG5aO5tB918w&oe=661A3FCD ,,,Bách,Duyệt,,
2024/03/12,Tám chuyện Showbiz,Le Ngoc Tuyen,https://www.facebook.com/share/p/V6XTYqCG8iLNmPXw/?mibextid=WC7FNe,,,https://www.facebook.com/tcsbvn/posts/pfbid02NqcVmsHpTZNHsfzNrMUTiswBfAimrf3reE8jeoKt2263Hc7v39DBNPHLLXsE36Ghl,Bách,Duyệt,,
2024/03/12,Tám chuyện Showbiz,Le Ngoc Tuyen,https://www.facebook.com/share/p/higw84XZHRByoXAa/?mibextid=WC7FNe,,,https://www.facebook.com/tcsbvn/posts/pfbid02dRZ5YVpymaJYviTc72gQ72QuG4HG4bnwFyn68BnjhzhM1k555QmYfVZxJatdghWyl,Bách,Duyệt,,
2024/03/12,Tám chuyện Showbiz,Thuỳ Linh,"🔥CHECK VAR: HOÁ RA VIỆC JACK KHÔNG VIẾT NHẠC MÀ TOÀN ""LALALA"" ĐỂ THỂ HIỆN GIAI ĐIỆU ĐÃ ĐƯỢC K-ICM NHẮC ĐẾN TỪ LÂU ‼️  ViruSs tiết lộ Jack không biết nhạc lý và toàn ""lalala"" giai điệu vào điện thoại để anh đệm đàn hộ đã khiến Đóm nổi giận. CĐM tham gia check Var thì đào được clip năm xưa của K-ICM cũng đã từng nói y hệt ViruSs.  Nhưng mà hồi đó nhìn Jack khóc thấy thương nên đã không một ai tin K-ICM mà không biết rằng cậu ấy chỉ đang nói sự thật. Chúng ta đã nợ Khánh một lời xin lỗi thật rồi 🥹‼️  Theo: Mantv","https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431517587_255769964254789_4807157848345890648_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFvAS-x4cYo28fOnOIPy3SLFCMj7B1-urEUIyPsHX66sTI2eR5RGV4CtpokkELi-PoFK19ePIg87LJHSV1L-xwg&_nc_ohc=4dLZP8QZVBoAX8nsrA7&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQMaJhlvJXdbIC5DB0v7eLwv_HxcDXiVqNOwJAlysSqKg&oe=661A0B4F 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/432371799_7187578394629887_3047588918150729196_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEX9R_EgEu3QcR5x2MrOmTkcPyM1uGUvTRw_IzW4ZS9NG0HbsYB41qCJw0b6ww8qOy1O6NCqe0niU8-24Jsznxu&_nc_ohc=c-FvQlp5-EEAX-m79Tu&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQQsIYtpS69JkQLu1I0rjslfPHdAL6a-c578At7Dvos4g&oe=661A0C2F 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431649137_1355942868454147_2128658698611164296_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEudeX5msZ8nIjwwJaF5lBwcDNac15pwpFwM1pzXmnCkcqM2xqOgM8hrXzZJjy84ywN4FVwK1MwMRjopNpPp_ci&_nc_ohc=wtI0fDXYMgoAX-XjI1_&_nc_ht=scontent.fhan2-4.fna&oh=03_AdTvuBOqFyView_ABzm15vkHtxQF8IzusoDiPP5CNCotXA&oe=661A301E 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/430775793_1686970098791882_5188214172944930194_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFfQvRXxK69gCX7-E-0SLxjgnW9SA-ra8GCdb1ID6trwSZYCwGimkUEh87-oLDDm4KzZ1XiiFCp3eap2ifGNBFj&_nc_ohc=4hpDp9QGMJQAX8docaH&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSbnDrvuU4Uz3s72_o0Efimp64e0lbA-ODSwuM7dh1FRg&oe=661A3B50 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/429473551_952915773205927_4532521174898563636_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHMihiWNvDhI9iiNvdJc5cjGVpi0KeA4TkZWmLQp4DhOQ2iM0_uQIKfpJOsUFvLw8cV-jRUqvHDaXXVsQk11AUa&_nc_ohc=BxFKaQknVfMAX_IjLVU&_nc_ht=scontent.fhan2-4.fna&oh=03_AdTRWfT-BERm5PbNAaRbDt5quN3G63FhQqoET3EUGsXJlQ&oe=661A0F75 ",,,Đạt,Duyệt,,
2024/03/12,Tám chuyện Showbiz,Thuỳ Linh,"CA SĨ, VLOGGER ĐÌNH ĐÁM HUY CUNG XUỐNG TÓC ĐI TU SAU HÔN NHÂN ĐỔ VỠ, LẤY HIỆU ""THIỆN HUY""  Mới đây, trên trang cá nhân, ca sĩ Lê Minh - Thành viên nhóm MTV đã chia sẻ hình ảnh tại một ngôi chùa. Đáng chú ý, nam ca sĩ bắt gặp vlogger nổi tiếng một thời - Huy Cung tại đây.  Trước đó, Huy Cung được biết đến là 1 trong những Vlogger đời đầu khá thành công sau thời của Huyme, JV với nhiều chủ đề thú vị tầm những nằm 2016, với những video bày tỏ quan điểm như ""Cung xử nữ lên tiếng"", ""Soái ca."", ""Khi vô tình gặp lại người yêu cũ.""...  Vloger Huy Cung và bà xã hot girl Linh My kết hôn vào tháng 12/2018, có với nhau một cậu con trai chung. Thế nhưng, cuộc hôn nhân này đã kết thúc chỉ sau hơn 2 năm về chung nhà. Cụ thể giữa tháng 4/2021, Huy Cung xác nhận đã ly hôn vợ và mới đây nhất, có vẻ sau khi trải qua nhiều mệt mỏi cuộc đời, Huy Cung quyết định nương nhờ cửa Phật để tìm kiếm bình an cho mình....","https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431180836_2365885213620774_3731580486951066742_n.png?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHfNcwC8CK7WLIqPYBSe8PatfMPUAMlEWq18w9QAyURasutSIG2n24QZKGs5fxMbjBUDzABc8Rskt9o_3P7L4A8&_nc_ohc=nagaMdYXFoUAX8y_r9U&_nc_ht=scontent.fhan2-4.fna&oh=03_AdS3MAVidjxA240_QMzgyknS_37nddpyk2No8xXZv6ViaA&oe=661A3A0E 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431230273_394913556480833_5577858648093017436_n.png?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGugsf_iG4X9QPs1jTyFW90f5_rU1fx9zV_n-tTV_H3NRRQ9GXLtSbzFHgzUuGmwSZk7y2DJtTZzb2co-tVd_v3&_nc_ohc=RG2RLz8KhbYAX_4Ew3_&_nc_ht=scontent.fhan2-3.fna&oh=03_AdShIgxYV_etIUUtsSt5A0iaISeco82be084YldiLWG1OA&oe=661A33B9 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431085899_416797407555988_8664793002793973406_n.png?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEBT7isREyQOP_XoAsZcJ1YcEM1n9zcpARwQzWf3NykBNQSfR0OmEXTQo3Qy1X-GkutY1gg6XvlGo6sQwyg4dd4&_nc_ohc=t8cNc8gEpj0AX88JGpj&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQ1n11TXy6onpIB6A9bkZ50csQfVdAVqRSvpR88c8k6tA&oe=661A0DE6 ",,,Đạt,Duyệt,,
2024/03/12,Tám chuyện Showbiz,Le Ngoc Tuyen,"‼️ĐỜI: VIRUSS SẢN XUẤT BÀI HÁT “ĐOM ĐÓM” ĐỂ RỒI BỊ CHÍNH ĐÓM LÊN LIVESTREAM DẠY NGƯỢC VỀ ÂM NHẠC 🌻  Viruss từng là người sản xuất bài hát tri ân cộng đồng fan Đom Đóm của Jack. Bài hát tên “Đom Đóm” luôn thì mới là một cú xoay vần của định mệnh. Dám chắc lúc làm bài này dù Viruss có sắm được khả năng tiên tri của Lisan al Gaib thì cũng không ngờ được ngày hôm nay chính cộng đồng mà anh từng góp phần tri ân sẽ dạy ngược lại mình về âm nhạc trên livestream mấy chục nghìn mắt xem 😭   Cũng là cái duyên cái nợ, một bài học đắt giá cho những ai hợp tác cùng chàng trai được tin tưởng nhất Việt Nam 🌻",https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/423766097_1157233768980079_141866252315444538_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGjTXATRaM_Cx1VvgrhqRRdgGdJwv8lXQCAZ0nC_yVdALmjYwnF9MykfxAjpc7V4xJQlw5nXjyjsC7zTOSnbQye&_nc_ohc=KCXH1g33C7EAX8YtFiA&_nc_ht=scontent.fhan2-4.fna&oh=03_AdT1X2g9E2lVGMauTlrg75aq9RmXmNz4mxVekih6L3Lm5Q&oe=661A211D ,,,Bách,Duyệt,,
2024/03/12,Tám chuyện Showbiz,Le Ngoc Tuyen,"JISOO QUYÊN GÓP CHO DỰ ÁN RỪNG NGẬP MẶN TẠI VIỆT NAM🇻🇳❤️  Theo Naver, vào ngày 12/3 Jisoo đã quyên góp tất cả số tiền thu được từ kênh YouTube có gần 5 triệu người đăng ký của mình cho tổ chức phi chính phủ quốc tế về quyền trẻ em 'Save the Children'. Số tiền quyên góp sẽ được sử dụng cho một dự án tạo rừng ngập mặn ở huyện Năm Căn, tỉnh Cà Mau, Việt Nam 🇻🇳",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431183848_782028513803523_7271236380282940368_n.png?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFF_uh_jyUDGoA-tGQ9BtWJ0FfQTO2LAj3QV9BM7YsCPfX1nJ9dJjkLGz57UfD2lm96AMTyPxTOgfgn71QRAa8m&_nc_ohc=q4GHPG5CuRkAX_j_Lm3&_nc_ht=scontent.fhan2-3.fna&oh=03_AdTLztQSVzHhO0tfxcSpWkdoHHstaoGu3F8bMM7XXc1B4w&oe=661A1EF1 ,,,Đạt,Duyệt,,
