time,page,sender_name,content,photos,videos,link,kdv,
2024/02/14,Tám chuyện Showbiz,Thuỳ Linh,ĐÔNG NHI THÔNG BÁO CÓ EM BÉ THỨ 2 NGAY DỊP VALENTINE!! 💋😳  Không biết lần này Winnie sẽ có em gái hay em trai đây 🥳 Chúc mừng gia đình Đông Nhi - Ông Cao Thắng nhé ❤️,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/428032710_1085115846021787_4560065470110917747_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=Z5UoiRjQJ0kAX-23aJ-&_nc_ht=scontent.fhan14-2.fna&oh=03_AdQhqMYrS-Wxzbp4asjdKNaKzaKnGmHbWa1B5H7gHTAsjw&oe=65FC9BAA ,,,Bách,Duyệt
2024/02/14,Tám chuyện Showbiz,Thuỳ Linh,Phương Oanh - Shark Bình tung bộ ảnh cưới đúng dịp Valentine ❤️❤️❤️,"https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/422917422_1054837462436575_1443147631681857881_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=rLYkJV3HytEAX9M1r3r&_nc_ht=scontent.fhan14-4.fna&oh=03_AdTnju80NBDAdZ5Rf4m1V2LRa17pffVMEZwtAXAiby6Dtg&oe=65FCA02E 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/427838833_1127182748308869_226793971073487539_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=rPUql8ZvCecAX_Mj1FC&_nc_ht=scontent.fhan14-1.fna&oh=03_AdS6AsWDNAKgR1VhApajv1j-cHuhbZClg5qw11xGaECScA&oe=65FC7887 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/422917211_7192875680791488_4985852558993679797_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=kKtri1pGRMEAX_Zy5L4&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRZSrSIlbpHILZrm448Pdmgo4wu2RU77vaxEzakmLckgw&oe=65FC80E1 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/428147454_590919813246613_2296400498130977688_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=spNl57N4SMcAX8sA6Kl&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSZ9PpcWWfmQIlTQonrIwgDkmos5wEljxxEBb7font1JA&oe=65FC981E ",,,Bách,Duyệt
2024/02/14,Tám chuyện Showbiz,Thuỳ Linh,"Thuỳ Tiên chơi rút lì xì của Đức Phúc được thần may mắn độ cho rút được bao lì xì kịch khung trị giá 2 triệu, còn bao 2 lít hôm bữa Tun Phạm nhận được từ Đức Phúc chắc là do hơi xu nên rút được bao thấp nhấp thui 🤧",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/422169711_1214299986213872_2475819727175380003_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=M_eX1vTqU4oAX8oLC8m&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQPw2MBe0bm-l0YIi1YiwoV92nbwxYdeWcPnFlO9ZFj0A&oe=65FC740E ,,,Bách,Duyệt
2024/02/14,Tám chuyện Showbiz,Le Ngoc Tuyen,"Bỉ ngạn vàng xin lỗi và cảm ơn kiểu:  Ui, xin lỗi 🥰 Mecxi",https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423542049_301063616310152_4641606571864870210_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=6gPMDizAxwkAX9LzUMI&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSEQYpVPJj5xGnM3XedHcn7lY9QaF5AgE4wKuPLlAfU9A&oe=65FC7F2D ,,,Bách,Duyệt
2024/02/13,Tám chuyện Showbiz,Thuỳ Linh,"ĐẠT G ĐĂNG ẢNH CINDY LƯ, GỬI LỜI YÊU THƯƠNG NHÂN DỊP VALENTINE  Nam ca sĩ đã đăng ảnh bạn gái và dành lời yêu thương cho người yêu:  ""Nhìn em như bức tranh giữa thành phố muôn màu. Cười tươi khi thấy anh bao ngày đã không gặp nhau...  Khi anh đặt bút viết bài hát Anh thích em như vậy này. Một hình ảnh duy nhất hiện lên trong đầu anh là gương mặt nụ cười từ phía đằng xa tiến lại gần xe của anh, 'em' sự sáng tạo của anh. Một tình yêu đơn giản từ cách mình bước đi, cách mình thở, cách mình cười với cuộc đời này"".  Cindy Lư cũng bình luận phía dưới: ""Happy Valentine sớm hay sao. Em cũng thích anh như vậy ạ"".","https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/428246872_1375757003308576_4574178900869271917_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=2paAD9PjTMsAX_ugDx2&_nc_ht=scontent.fhan14-2.fna&oh=03_AdTfMga9Pyohb2S2aLC09zlq5ClVOactIVhuutgSwSrkxQ&oe=65FC9E40 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/421531958_1387591545211363_4386605391401691485_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=Tuxc-VcvwGAAX9OZVjm&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSkVJ7ynKAhCBsv9px3q3VQrl__616G-5yUGbkNkK29JA&oe=65FC6EDF 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423735847_1541909833269716_4315829203399188473_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=zUFRDeDmYcsAX8pJbvn&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRZ-oT_Rk8iphLqRdFPzIngzE3ph_lIqKG28dVN2jNEZQ&oe=65FC84CB 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423903734_405167585205606_4656230445839953670_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=B_jIG-4Asd4AX_bboE-&_nc_ht=scontent.fhan14-3.fna&oh=03_AdR6L3uH4lz2Kq7BaGcKC1x9mlnjzWx7tjvlxikK_HJmxQ&oe=65FC95A3 ",,,Đạt,Duyệt
2024/02/13,Tám chuyện Showbiz,Thuỳ Linh,Từ nay sở thích của tôi chắc là hóng xem mỗi mùng Pam lại mặc áo dài màu gì 🤭 Nay mùng 4 cô ấy mặc màu cam xinh quá đi 🍊,"https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/416668393_1067657167609493_2645537255542999353_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=Tpbcnwg6E9wAX-0lnN9&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQhsAqb_8DlTafCE3f77Q32BGk2q4xt1kGH8X7SBsODjQ&oe=65FC73EB 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/428077173_3774702462775812_583257047187623461_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=u5lhRGrxJgsAX8N6uM-&_nc_ht=scontent.fhan14-4.fna&oh=03_AdSo3WHmC-0CfSD9UK2W70Q255F-abgdaGIjwrI6VdMq4A&oe=65FC7BA5 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423903810_1121157438886557_3226650065670896787_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=qxkt7CStlFEAX84cEnY&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQ_RHevzOyI446FKgTXqjpmoSTc895U1g6YQB_ZIuPJgA&oe=65FC79BD 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/421458750_1063905991558740_3768786785260652785_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=bUiqn-Gxki8AX-hw3ww&_nc_ht=scontent.fhan14-4.fna&oh=03_AdTGdi0TxeH5IFe1EdqSlahqHB7IjPqq65N0EZey8gyX2g&oe=65FCA242 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/426833007_319817687219078_5285464756778756616_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=QtHEVw456rIAX8q4A4h&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRQnbRYG7XTujolzOzSoqnvD-g-qFcCrnAXdTJ7tQz7PQ&oe=65FC88D3 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/426720366_376918041736103_7660905679351094679_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=rwXLnLDWvmAAX8laNWB&_nc_ht=scontent.fhan14-4.fna&oh=03_AdTukZsz8N75CZf6jL5TIy2Wg_lKJM9Z3ze_6f4avKNeNg&oe=65FC8742 ",,,Đạt,Duyệt
2024/02/12,Tám chuyện Showbiz,Le Ngoc Tuyen,Lệ Quyên cùng bạn trai du xuân mùng 50 Tết 😅,,https://video.fhan14-2.fna.fbcdn.net/v/t42.3356-2/427075505_7521825047855483_7996182116260986931_n.mp4?_nc_cat=106&ccb=1-7&_nc_sid=4f86bc&_nc_ohc=Pe1UY-j2wiQAX8hDBYq&_nc_ht=video.fhan14-2.fna&oh=03_AdSG6sm4GQ8LmS-6Xut4wCEr0fdnvA8Vm2uSlUARpSsc6g&oe=65D6CD6C&dl=1 ,,Bách,Duyệt
2024/02/12,Tám chuyện Showbiz,Thuỳ Linh,Hoá ra đây là lí do Vũ. ít cười,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/416665369_942419024157116_813420135474403740_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=BUGvSF9iw60AX8VhFHq&_nc_ht=scontent.fhan14-2.fna&oh=03_AdQGpSbtBWOLm4-kvYPCrmmSCbyqp41Ay9OFaQ10kEY5lQ&oe=65FC6CD4 ,,,Bách,Duyệt
2024/02/12,Tám chuyện Showbiz,Thuỳ Linh,"Tun Phạm công khai bóc lì xì của Hương Giang, Đức Phúc: Mừng 200k bị netizen chê ít, người nhận phải đích thân giải thích 🧧  Tun Phạm công khai được Hương Giang mừng tuổi 500k, Đức Phúc “nhả vía” lấy may 200k. Tới phong bao lì xì của Long Chun, Tun Phạm bất ngờ vì khá dày, đếm mỏi tay tới 30 tờ 100k, tổng là 3 triệu đồng. Đây cũng là một trong những lì xì khiến Tun Phạm tâm đắc vì không nghĩ các bạn lại “chơi lớn” đến vậy.  Bên cạnh đó, anh chàng còn khoe số tiền lì xì “khủng” từ một người bạn thân lâu năm của mình khiến dân tình trầm trồ không ngớt.  Tổng kết lại sau 2 ngày Tết, Tun Phạm cộng lại được hơn 12 triệu đồng tiền mừng tuổi.","https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/428165434_743163131092925_7015396321892789368_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=KZgh0ZtThVEAX89dnBh&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQvj2AV0nJNiOcdNbXWiyGMS3Cg67CE7OrR69VSCpJQpg&oe=65FC6F15 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/421228370_1837659830011400_5925062813980271675_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=0pCbG3KRL2sAX8wunXb&_nc_ht=scontent.fhan14-2.fna&oh=03_AdT6eVIfL32Mb56xS5LsnCmmjk8eIe-JoI03xN8pR4-tDQ&oe=65FC6E34 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/421243103_1041784190225003_1446864354980254118_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=P-HVNPjTlg0AX_kRkW1&_nc_ht=scontent.fhan14-4.fna&oh=03_AdTBDi3QdnPuJg0B8zgV0M4ZYMNiqcC4njRV70_MferOZw&oe=65FC9F5E 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/421244096_372484692188171_8907987849637380639_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=udTEswXi6kQAX-0ZlmD&_nc_ht=scontent.fhan14-2.fna&oh=03_AdTL1gflnaaRMQ5IBCwQv9rmWXevh50upg27YqGIlXSCCA&oe=65FC8384 ",,,Bách,Duyệt
2024/02/12,Tám chuyện Showbiz,Le Ngoc Tuyen,Cách người giàu thoát pressing mùa Tết 😍,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/422906585_1327848804547786_7686521642220904982_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=3VE7Zu1W_9UAX9YzBbx&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRTETaCZqfumBHf7JZi-zkiemC0B-15pIZSFttz_An_IQ&oe=65FC82C9 ,,,Đạt,Duyệt
